input,intent
What’s the weather like today?,other
no,other
Tell me a joke.,other
Play some relaxing music.,other
How do I reset my password?,other
What’s the capital of Norway?,other
Can you  me order pizza?,other
What’s 25 times 42?,other
Who won the game last night?,other
How do you say “hello” in Japanese?,other
Recommend a good movie to watch.,other
What time is it in New York?,other
Show me pictures of cats.,other
I’m bored what should I do?,other
Tell me a fun fact.,other
Can you turn off the lights?,other
What’s trending on Twitter?,other
Translate “thank you” to Spanish.,other
How do I make sourdough bread?,other
Do you know any tongue twisters?,other
What’s the latest tech news?,other
Can you  me book a flight?,other
Set a timer for 20 minutes.,other
What’s 78°F in Celsius?,other
How many days until Christmas?,other
Give me a recipe for lasagna.,other
Roll a dice.,other
What’s a good podcast to listen to?,other
Define “ephemeral.”,other
Can you tell me a bedtime story?,other
What’s the meaning of life?,other
 me practice a job interview.,other
Who painted the Mona Lisa?,other
I need a workout routine.,other
What’s the tallest mountain in the world?,other
How do you spell “accommodate”?,other
What are some good riddles?,other
Show me some inspirational quotes.,other
How do you start a blog?,other
Can you beatbox?,other
 me study for my math test.,other
What’s a healthy breakfast idea?,other
Teach me a new word.,other
What’s happening in the world today?,other
How do I meditate properly?,other
What zodiac sign is compatible with Leo?,other
I need  writing a poem.,other
What’s a cool science experiment for kids?,other
What is ChatGPT?,other
How do I improve my memory?,other
Write me a haiku about space.,other
Can you recommend a good book?,other
What are some beginner guitar chords?,other
How does Bitcoin work?,other
What are the symptoms of jet lag?,other
Can you tell me a scary story?,other
What’s a good gift for a 10-year-old?,other
What’s the fastest animal on Earth?,other
Explain the rules of chess.,other
Where is the Eiffel Tower located?,other
What’s a pun for Halloween?,other
How do I stop procrastinating?,other
What are some mindfulness exercises?,other
How do you fold a fitted sheet?,other
What’s the best way to learn coding?,other
Do dogs dream?,other
What is the periodic table?,other
Can you sing happy birthday?,other
What is an NFT?,other
Help me brainstorm a business idea.,other
What rhymes with “orange”?,other
Who is the president of France?,other
Show me a map of South America.,other
What are the rules of Uno?,other
What’s a cool magic trick I can do?,other
Recommend a good strategy game.,other
How many calories are in an apple?,other
What is the best productivity app?,other
Can you pretend to be a pirate?,other
What do penguins eat?,other
What is a palindrome?,other
How do I start a podcast?,other
What’s a fun icebreaker question?,other
What’s the best way to learn a new language?,other
How do airplanes fly?,other
How do I tell if an avocado is ripe?,other
What is a black hole?,other
Give me an idea for a short story.,other
What are the rules for Sudoku?,other
Who invented the light bulb?,other
How do I play the ukulele?,other
What’s your favorite movie?,other
How do I start a garden?,other
What’s a good prank to play on April Fools’ Day?,other
Tell me about the Roman Empire.,other
What are the benefits of drinking water?,other
How do I draw a dragon?,other
Can you  me write a rap?,other
What is a limerick?,other
What should I name my new puppy?,other
What is quantum physics?,other
Give me a list of famous inventors.,other
Can you imitate a Shakespearean actor?,other
What does “serendipity” mean?,other
Who are the Beatles?,other
What is the Fibonacci sequence?,other
